,Average Mean,Average Median,Average Minimum,Average Maximum,Average Standard Deviation,Average Mean Deviation,Average Median Deviation,Average Minimum Deviation,Average Maximum Deviation,Average Standard Deviation Deviation,Highest Mean,Highest Median,Highest Minimum,Highest Maximum,Highest Standard Deviation,Lowest Mean,Lowest Median,Lowest Minimum,Lowest Maximum,Lowest Standard Deviation,Glucose
18,70.07121527777778,28.133333333333333,1.8,210.13333333333333,72.46665902333649,1.0056768566051755,1.627540748764494,1.32664991614216,3.1382939455839525,1.430143328405448,72.6140625,33.0,4,219,76.85243917022258,68.89583333333333,26.0,0,207,71.46041069737677,71
19,70.98215277777778,28.266666666666666,1.3333333333333333,213.06666666666666,73.6517772041356,1.7536019011453579,1.6519348924485155,1.192569587999888,5.2721490452713455,2.0790285843784155,73.66979166666667,31.0,3,221,77.90571440822937,68.07239583333333,26.0,0,204,70.47134541714344,84
20,72.52298611111111,27.933333333333334,1.7333333333333334,216.46666666666667,75.75340786362453,1.8243914259386838,1.3888444437333107,0.9977753031397179,4.8424052792892995,1.9417133470512629,76.46145833333334,30.0,3,228,80.53386693108226,69.55416666666666,25.0,0,209,73.4664619013707,80
21,70.03857638888888,28.833333333333332,0.6,210.0,71.50971479930296,2.2466612595584174,1.728840330651992,1.083205120618128,6.314005596027506,2.2096409166384796,73.56510416666667,32.0,3,219,75.262754532244,66.48697916666667,25.0,0,201,67.27449861419431,131
22,72.6145138888889,29.133333333333333,0.6666666666666666,215.66666666666666,75.00580904376316,1.7858486454220346,2.2095751225568736,1.0110500592068734,4.825856285561029,1.7488660732307078,77.234375,34.0,3,223,78.08172978804139,70.2140625,26.0,0,208,72.92500792878091,142
23,69.034375,27.133333333333333,0.4666666666666667,209.33333333333334,71.47892696181471,1.8362535927655643,1.586050300449376,0.7180219742846006,5.962847939999439,1.633543299766646,73.55572916666667,30.0,2,225,75.55212065803745,67.1359375,24.0,0,202,69.56165926790538,79
24,73.35590277777779,28.4,1.4666666666666666,218.4,76.51372704686165,1.3184981118415686,2.184795947756525,1.359738536958076,4.498888751680797,1.9243930951441515,76.62083333333334,32.0,5,227,79.83081056817738,71.090625,26.0,0,212,74.22576016601126,94
25,76.40034722222222,40.77777777777778,0.0,231.77777777777777,72.18720174509389,0.7930102891950948,1.4740554623801776,0.0,2.528845928164676,0.5308857689822595,77.43958333333333,43.0,0,235,73.10822735438907,74.78489583333334,38.0,0,228,71.49161784801097,95
26,67.6588888888889,26.566666666666666,1.7333333333333334,205.33333333333334,70.07066618126825,1.589911800591864,1.046687897873839,1.1234866364235145,4.894441291460708,1.8244848985506,71.54895833333333,28.0,4,217,75.30308688724695,66.0328125,24.0,0,198,67.89517400011955,106
27,70.51284722222222,28.6,0.9333333333333333,212.46666666666667,72.87612950087123,1.288185717063879,1.0832051206181281,0.9977753031397177,4.1931160516043695,1.5120884496221911,73.4734375,30.0,3,219,76.46474080319804,67.88229166666666,26.0,0,206,70.8135955266708,79
28,74.37423611111109,29.2,3.4,219.0,77.35069131869245,2.1414565148551206,2.5612496949731396,1.3063945294843617,5.645056834671079,2.2544733219969486,78.73697916666667,34.0,5,229,80.99917751151078,70.27291666666666,26.0,1,208,73.56208755076483,91
29,70.34237689393939,29.318181818181817,1.8181818181818181,209.0,71.89008666632327,2.151432024350765,2.878389127088648,1.33608531424537,4.242640687119285,1.419828011518362,74.046875,32.0,4,217,74.965018201779,67.35729166666667,24.0,0,204,70.20922526441046,135
30,76.38243055555557,37.4,0.2,229.26666666666668,75.4221593819498,1.5226528720966968,2.8413611761501443,0.7483314773547879,4.040901989517797,2.467361239716866,80.51197916666666,43.0,3,238,80.98109258647703,73.215625,33.0,0,222,71.69147484068729,131
31,59.26819444444444,24.2,3.7333333333333334,180.46666666666667,59.78767946385276,1.702598335008651,1.973153144926499,1.2892719737209144,3.757067414294765,1.5456178122802164,61.59791666666667,27.0,6,185,62.857880526310964,53.95625,20.0,1,169,55.040204647186464,109
32,71.34413194444444,27.2,2.3333333333333335,212.8,74.28625888917449,1.4782687448049765,1.16619037896906,1.577621275493231,4.982636517614612,1.7888583342888582,75.18385416666666,29.0,5,225,79.0791076084284,69.68854166666667,25.0,0,207,72.79257684480332,134
33,70.83291666666668,26.9,1.6666666666666667,213.0,74.11844498707198,1.6180178323273091,2.395829710142188,1.1352924243950933,5.033222956847166,1.979532138085248,73.35625,32.0,4,223,77.82562120936308,67.64479166666666,24.0,0,205,71.33331294264457,140
34,71.92274305555557,28.333333333333332,2.8,213.93333333333334,74.74353725738796,1.8587120148031988,2.649947588580239,1.7962924780409972,3.7853518844209035,1.8124314814992317,74.8125,33.0,5,219,78.37820922013692,69.2734375,25.0,0,207,72.34282981026244,113
35,71.24864583333333,28.666666666666668,1.0666666666666667,213.26666666666668,73.45494547286275,1.513819978044261,1.955050439815357,1.2892719737209146,4.073764297987251,1.8022293793338267,75.5703125,32.0,4,224,79.0747487475343,69.2765625,25.0,0,207,71.60654007672751,84
36,70.89878472222222,27.166666666666668,1.0,213.33333333333334,74.07125312624659,1.1662441519559466,1.286683937707919,1.0954451150103321,5.094659513211415,1.6015053917315998,74.54635416666666,29.0,3,230,79.45244868027184,69.33385416666667,24.0,0,209,72.83859866782122,100
