,Average Mean,Average Median,Average Minimum,Average Maximum,Average Standard Deviation,Average Mean Deviation,Average Median Deviation,Average Minimum Deviation,Average Maximum Deviation,Average Standard Deviation Deviation,Highest Mean,Highest Median,Highest Minimum,Highest Maximum,Highest Standard Deviation,Lowest Mean,Lowest Median,Lowest Minimum,Lowest Maximum,Lowest Standard Deviation,Glucose
0,72.90277777777777,30.133333333333333,1.0666666666666667,216.46666666666667,75.01362767650244,2.5096130403639862,1.6977108770995795,1.2892719737209146,7.079234107977752,2.8786204709875576,78.5625,34.0,4,233,80.32387079038212,69.3875,27.0,0,207,71.61826502657452,123
1,69.31184027777776,27.566666666666666,0.26666666666666666,208.66666666666666,71.34903541756668,1.9587711211556353,2.0072092289766124,0.6798692684790381,5.387227693556514,1.9518612020915933,73.73854166666666,33.0,2,220,74.53947441082951,66.8890625,25.0,0,201,67.94390061198351,127
2,70.04017361111111,27.8,0.7333333333333333,211.93333333333334,72.70062378561246,1.6505549237243538,1.7204650534085253,0.8537498983243799,4.234251868853445,1.7428389633067263,73.58020833333333,32.0,2,222,76.5357135043717,67.92552083333334,24.0,0,206,70.60600591898395,85
3,77.755859375,44.75,0.0,237.375,71.70786995293497,1.676525381719623,2.7613402542968153,0.0,5.429951657243368,1.097394176815183,80.7765625,51.5,0,248,73.28707243919557,75.3578125,42.0,0,230,70.38327225093734,110
4,70.5118675595238,28.214285714285715,0.21428571428571427,210.35714285714286,72.71302684306275,1.0459041447524546,1.305404777321219,0.410325903324145,3.242731275090333,1.2292400579645093,72.3203125,30.0,1,217,74.56141207578942,68.29583333333333,25.0,0,205,71.08107258572473,86
5,75.16796875000001,33.17857142857143,0.07142857142857142,223.64285714285714,76.5228498351836,1.6420929604005667,3.216070932815065,0.25753937681885636,4.545125219980867,1.093275338205849,77.73177083333333,39.0,1,231,78.67596162528146,72.04166666666667,28.0,0,215,74.37308678094777,142
6,69.21152777777779,27.766666666666666,0.8666666666666667,207.06666666666666,71.29740903239424,1.5936309853286894,1.7594190960528864,1.4079141387961918,4.9053259037725745,1.9804931749342167,72.47864583333333,32.0,4,214,74.71846856032025,67.38541666666667,25.0,0,198,68.9148768200638,100
7,69.75372023809523,28.928571428571427,0.7142857142857143,208.42857142857142,71.55493273314795,1.5574307259085742,2.1535447759544764,0.8806305718527108,4.5781201025605895,1.4344818994764883,73.1,34.0,2,218,73.73239990526505,67.42552083333334,25.0,0,202,69.03539398423531,124
8,70.01086805555556,26.733333333333334,1.8,209.06666666666666,72.81094374815764,1.2819084360914315,0.7717224601860149,1.6,4.265624872812371,1.5873766214606413,74.65885416666667,28.0,5,224,78.33476356012315,69.04010416666667,25.0,0,205,70.92454231110646,83
9,69.05572916666665,27.8,0.26666666666666666,207.2,70.93757553019087,1.5417056231001474,1.16619037896906,0.573488351136175,3.1874754901018454,1.6087324503517488,72.93333333333334,30.0,2,216,75.32650964670775,67.09270833333333,26.0,0,203,68.76941202427814,84
10,69.56541666666666,27.666666666666668,0.8666666666666667,207.66666666666666,71.72796174148817,1.1934977191245721,1.1925695879998879,1.0241527663824812,4.093355048802334,1.53261647706721,71.68854166666667,30.0,3,215,73.83577491230821,67.39947916666667,25.0,0,201,69.18655562242856,98
11,67.70631944444445,27.466666666666665,0.5333333333333333,202.86666666666667,69.57966576927524,1.5925993357381718,0.9568466729604883,0.618241233033047,5.76040122059412,2.1242460023725798,72.91354166666666,29.0,2,222,76.72278170980202,66.35052083333333,26.0,0,197,67.61548986290819,99
12,70.54309027777778,27.0,0.8666666666666667,211.93333333333334,73.78250878854276,1.8639047246905518,1.7126976771553504,0.8055363982396382,5.567365225630124,2.695015325964069,74.709375,30.0,2,224,79.82472932687824,67.6578125,24.0,0,203,68.74344192008718,112
13,69.48666666666666,27.333333333333332,2.2,208.46666666666667,72.12494345320414,1.673533453995921,2.0548046676563256,1.3759844960366863,5.123366948490893,2.1064156985048212,74.51666666666667,30.0,4,222,78.32844665608756,68.09010416666666,23.0,0,202,69.90870744071024,122
14,71.235,29.0,0.13333333333333333,212.66666666666666,73.05645973440795,1.652297894414494,1.591644851508443,0.4988876515698589,4.077035960378841,1.5406446950147534,74.53333333333333,32.0,2,221,76.0790353225785,69.31510416666667,26.0,0,206,70.57686546263453,87
15,71.28371527777777,26.966666666666665,0.4,213.73333333333332,74.5231953316758,1.8731953551720442,1.8838494867926387,0.879393730551528,5.507167047483569,1.8154073229726937,75.20572916666667,31.0,3,224,78.87138705730561,69.39166666666667,25.0,0,208,72.42850789736835,113
16,69.88499999999999,27.566666666666666,0.4,210.86666666666667,72.35621561851625,1.394655392791066,1.681930108205715,0.8,4.0144184579532265,1.6147696540000174,72.16145833333333,30.0,3,220,76.97747217773045,67.58020833333333,25.0,0,205,70.49822318601359,116
17,68.79947916666667,28.0,0.4,207.46666666666667,70.72452925330568,0.7866374887921066,1.505545305418162,0.6110100926607788,2.963481436119049,1.1454514051688112,70.8453125,31.0,2,216,74.62887014605906,67.34479166666667,25.0,0,203,69.73191899748983,75
18,69.53277777777777,27.866666666666667,0.4,208.66666666666666,71.87188675765707,1.141521930876863,1.6679994670929075,0.6110100926607788,3.496029493900505,1.4576798436079277,72.59375,33.0,2,219,76.20604991908998,68.1953125,26.0,0,205,70.8546153001454,71
19,70.55701388888887,28.066666666666666,0.7333333333333333,211.33333333333334,73.07905693373101,1.752226828772876,1.730767331432956,1.1234866364235143,5.223876806442596,2.1328546103893,73.09010416666666,31.0,4,220,77.21343326826286,67.61822916666667,25.0,0,203,70.05920022514577,84
20,71.93555555555555,27.6,0.3333333333333333,214.46666666666667,75.17308227562759,1.8023982490843882,1.4047538337136987,0.5962847939999438,4.674279504788827,1.8765490733741048,75.8703125,30.0,2,227,79.87077032297658,69.0046875,25.0,0,207,72.91159384139847,80
21,69.47204861111112,28.466666666666665,0.3333333333333333,209.26666666666668,70.9277486551168,2.169727602693047,2.0286832072937253,0.8692269873603531,4.296768811819205,2.1863527238796054,72.20677083333334,32.0,3,216,74.8481341338746,65.8875,25.0,0,201,66.85427132016322,131
22,72.09538194444444,28.8,0.26666666666666666,215.53333333333333,74.56590705271515,1.7207543959172897,1.9390719429665315,0.573488351136175,4.814792022738077,1.70292707141673,76.04010416666667,33.0,2,226,77.41099698463918,69.7671875,26.0,0,208,72.42603602416176,142
23,68.62100694444445,27.2,0.26666666666666666,207.0,70.86923109632077,1.7110618947535088,1.6,0.573488351136175,4.305035810923451,1.5181265849724186,72.56458333333333,30.0,2,218,74.9413659402673,66.67239583333334,25.0,0,201,69.30392172614233,79
